discount,img,platform,price,time,title
-15%,https://s1.gaming-cdn.com/images/products/12783/380x218/farming-simulator-22-ero-grapeliner-series-7000-pc-mac-game-steam-cover.jpg?v=1662042567,None,1.69€,20/10/2022 ::16:11:50,Farming Simulator 22 - ERO Grapeliner Series 7000
-20%,https://s3.gaming-cdn.com/images/products/12764/380x218/escape-simulator-steampunk-pc-mac-game-steam-cover.jpg?v=1661949909,None,3.99€,20/10/2022 ::16:11:50,Escape Simulator: Steampunk
-30%,https://s1.gaming-cdn.com/images/products/12606/380x218/generation-zero-resistance-weapons-pack-pc-game-steam-cover.jpg?v=1658930394,None,2.78€,20/10/2022 ::16:11:50,Generation Zero - Resistance Weapons Pack
-40%,https://s3.gaming-cdn.com/images/products/11810/380x218/mx-vs-atv-legends-pc-game-steam-cover.jpg?v=1656428693,None,23.89€,20/10/2022 ::16:11:50,MX vs ATV Legends
-44%,https://s2.gaming-cdn.com/images/products/10555/380x218/endzone-a-world-apart-distant-places-pc-game-steam-cover.jpg?v=1666169319,None,4.50€,20/10/2022 ::16:11:50,Endzone - A World Apart: Distant Places
-22%,https://s3.gaming-cdn.com/images/products/9950/380x218/star-ocean-the-divine-force-pc-game-steam-cover.jpg?v=1664875085,None,46.89€,20/10/2022 ::16:11:50,Star Ocean: The Divine Force
-38%,https://s1.gaming-cdn.com/images/products/8325/380x218/destroy-all-humans-2-reprobed-pc-game-steam-cover.jpg?v=1661844634,None,24.99€,20/10/2022 ::16:11:50,Destroy All Humans! 2 Reprobed
-50%,https://s1.gaming-cdn.com/images/products/13047/380x218/ozymandias-bronze-age-empire-sim-pc-mac-game-steam-europe-cover.jpg?v=1665506372,None,7.49€,20/10/2022 ::16:11:50,Ozymandias: Bronze Age Empire Sim
-20%,https://s1.gaming-cdn.com/images/products/12594/380x218/naruto-to-boruto-shinobi-striker-season-pass-5-pc-game-steam-cover.jpg?v=1658826369,None,11.99€,20/10/2022 ::16:11:50,Naruto to Boruto: Shinobi Striker Season Pass 5
-50%,https://s3.gaming-cdn.com/images/products/12455/380x218/the-jackbox-party-starter-pc-mac-game-steam-cover.jpg?v=1656924820,None,10.00€,20/10/2022 ::16:11:50,The Jackbox Party Starter
-44%,https://s1.gaming-cdn.com/images/products/12927/380x218/there-is-no-light-pc-game-steam-cover.jpg?v=1663672587,None,13.88€,20/10/2022 ::16:11:50,There Is No Light
-51%,https://s3.gaming-cdn.com/images/products/12938/380x218/the-outbound-ghost-pc-game-steam-cover.jpg?v=1663775489,None,8.17€,20/10/2022 ::16:11:50,The Outbound Ghost
-20%,https://s2.gaming-cdn.com/images/products/12322/380x218/evil-west-pc-game-steam-cover.jpg?v=1663575709,None,39.89€,20/10/2022 ::16:11:50,Evil West
-57%,https://s2.gaming-cdn.com/images/products/8641/380x218/endling-extinction-is-forever-pc-game-steam-cover.jpg?v=1658217008,None,12.89€,20/10/2022 ::16:11:50,Endling - Extinction is Forever
-24%,https://s1.gaming-cdn.com/images/products/12303/380x218/legend-of-keepers-soul-smugglers-pc-mac-game-steam-europe-cover.jpg?v=1655728271,None,3.79€,20/10/2022 ::16:11:50,Legend of Keepers: Soul Smugglers
-43%,https://s3.gaming-cdn.com/images/products/12368/380x218/keplerth-pc-game-steam-cover.jpg?v=1656060371,None,7.15€,20/10/2022 ::16:11:50,Keplerth
-82%,https://s3.gaming-cdn.com/images/products/347/380x218/game-uplay-far-cry-4-cover.jpg?v=1625492288,None,5.50€,20/10/2022 ::16:11:50,Far Cry 4
-72%,https://s3.gaming-cdn.com/images/products/182/380x218/game-uplay-assassins-creed-brotherhood-cover.jpg?v=1614940246,None,4.25€,20/10/2022 ::16:11:50,Assassin's Creed: Brotherhood
-74%,https://s3.gaming-cdn.com/images/products/572/380x218/assassin-s-creed-rogue-pc-game-ubisoft-connect-cover.jpg?v=1657809086,None,5.16€,20/10/2022 ::16:11:50,Assassin's Creed: Rogue
-51%,https://s1.gaming-cdn.com/images/products/4890/380x218/assassin-s-creed-director-s-cut-edition-directors-cut-pc-game-ubisoft-connect-cover.jpg?v=1646667494,None,4.93€,20/10/2022 ::16:11:50,Assassin's Creed: Director's Cut Edition
-56%,https://s3.gaming-cdn.com/images/products/12347/380x218/tom-clancy-s-rainbow-six-siege-operator-edition-operator-edition-pc-game-ubisoft-connect-cover.jpg?v=1655908920,None,30.45€,20/10/2022 ::16:11:50,Tom Clancy's Rainbow Six Siege Operator Edition
